Username,Quantity,Status,Event Name,Event Date,Venue,City,State,Section,Row,Seats,Seat Type,Stock Type,Split Type,Internal Notes,Public Notes,Face,Total Cost,List,Inhand Date,Broadcast
steven-lawrence-3,5,READY,Sombr Parking,2026-11-01 7:01pm,Target Center Parking,Minneapolis,MN,800 S MARQUETTE AVE.GENERAL.- 0.4 MILES,0,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.4 MILES FROM VENUE",0,30,20,2026-10-31T19:01:00.000Z,Y
steven-lawrence-3,5,READY,Sombr Parking,2026-11-01 7:01pm,Target Center Parking,Minneapolis,MN,241 N 5TH AVE.- 0.6 MILES FROM VENUE,0,5-Jan,general_admission,pdf,any,,"0.6 miles from venue
parking pass only",0,30,20,2026-10-31T19:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,Rod Wave Parking,2026-11-03 8:01pm,Spectrum Center Parking,Charlotte,NC,BOA - 225 E. 6TH ST. GARAGE.- 0.1 MILES AWAY,GA3,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.1 MILES FROM VENUE",0,81,23,2026-11-02T20:01:00.000Z,Y
steven-lawrence-3,12,ACTIVE,The Red Clay Strays Parking,2026-11-05 6:31pm,Raising Canes River Center Arena Parking,Baton Rouge,LA,829 ST. PHILIP ST -0.3MILES,GA6,12-Jan,general_admission,pdf,any,,"Parking pass only
0.3miles from venue",0,135.36,23,2026-11-04T18:31:00.000Z,Y
steven-lawrence-3,18,READY,The Red Clay Strays Parking,2026-11-05 6:31pm,Raising Canes River Center Arena Parking,Baton Rouge,LA,829 ST. PHILIP ST - 0.3 MILES FROM VENUE,0,18-Jan,general_admission,pdf,any,,"Parking pass only
0.3 miles from venue",0,203.04,24,2026-11-04T18:31:00.000Z,N
steven-lawrence-3,27,ACTIVE,Usher and Chris Brown Parking,2026-11-10 7:01pm,Mercedes-Benz Stadium Parking,Atlanta,GA,236 WILLIAMS ST. LOT - 0.7 MILES,GA5,27-Jan,general_admission,pdf,any,,"Parking Pass Only
0.7 miles from venue",0,572.4,37,2026-11-09T19:01:00.000Z,Y
steven-lawrence-3,1,ACTIVE,Usher and Chris Brown Parking,2026-11-10 7:01pm,Mercedes-Benz Stadium Parking,Atlanta,GA,75 M.L.K. JR. DR. SW. GARAGE - 0.8 MILES,GA5,1,general_admission,pdf,any,,"Parking pass only
0.8 miles from venue",0,9.28,22,2026-11-09T19:01:00.000Z,Y
steven-lawrence-3,6,ACTIVE,Sabaton Parking,2026-11-12 7:01pm,Hollywood Palladium Parking,Los Angeles,CA,6272 DE LONGPRE AVE (0.3 MILES AWAY),GA6,6-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.3 MILES FROM VENUE",0,30.9,20,2026-11-11T19:01:00.000Z,Y
steven-lawrence-3,1,READY,Usher and Chris Brown Parking,2026-11-20 7:01pm,Caesars Superdome Parking,New Orleans,LA,300 LASALLE ST (0.3 MILES FROM VENUE),0,1,general_admission,pdf,any,,"0.3 MILES FROM VENUE
PARKING PASS ONLY",0,16.16,33,2026-11-19T19:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,St. Pete Country Fest Parking - Friday,2026-11-20 11:59pm,Vinoy Park Parking,Saint Petersburg,FL,PLAZA TOWER AND COURTYARD SHOPS GARAGE,GA9,9-Jan,general_admission,pdf,any,,"0.5 miles from venue
Parking Pass Only",0,190.8,37,2026-11-19T23:59:00.000Z,Y
steven-lawrence-3,5,ACTIVE,Katseye Parking,2026-11-21 8:01pm,Crypto.com Arena Parking,Los Angeles,CA,115 W. PICO BLVD. - 0.6 MILES,GA7,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,80.25,33,2026-11-20T20:01:00.000Z,Y
steven-lawrence-3,9,ACTIVE,Katseye Parking,2026-11-21 8:01pm,Crypto.com Arena Parking,Los Angeles,CA,725 S. GRAND AVE. - 0.8 MILES,GA8,9-Jan,general_admission,pdf,any,,"PARKING PASS ONLY 
0.8 MILES FROM VENUE",0,99.18,27,2026-11-20T20:01:00.000Z,Y
steven-lawrence-3,12,ACTIVE,Katseye Parking,2026-11-21 8:01pm,Crypto.com Arena Parking,Los Angeles,CA,945 W. 8TH ST. - 0.7 MI AWAY,GA4,12-Jan,general_admission,pdf,any,,"0.7 MILES FROM VENUE
PARKING PASS ONLY",0,166.92,30,2026-11-20T20:01:00.000Z,Y
steven-lawrence-3,10,ACTIVE,St. Pete Country Fest Parking - Saturday,2026-11-21 11:59pm,Vinoy Park Parking,Saint Petersburg,FL,150 2ND AVE. N.- 0.7 MILES FROM VENUE,GA8,10-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.7 MILES FROM VENUE",0,181.9,36,2026-11-20T23:59:00.000Z,Y
steven-lawrence-3,2,ACTIVE,Third Day Parking,2026-11-22 7:01pm,Simmons Bank Arena Parking,North Little Rock,AR,350 MAPLE ST.- 0.4 MILES,GA4,2-Jan,general_admission,pdf,any,,"PARKING PASS ONLY 
0.4  MILES FROM VENUE",0,12.2,21,2026-11-21T19:01:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-03 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA2,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-02T17:46:00.000Z,Y
steven-lawrence-3,5,ACTIVE,National Finals Rodeo Parking,2026-12-04 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA8,5-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,32.1,21,2026-12-03T17:46:00.000Z,Y
steven-lawrence-3,4,ACTIVE,National Finals Rodeo Parking,2026-12-05 5:46pm,Thomas and Mack Center Parking,Las Vegas,NV,5030 PARADISE RD. - 0.6 MILES,GA7,4-Jan,general_admission,pdf,any,,"PARKING PASS ONLY
0.6 MILES FROM VENUE",0,25.68,21,2026-12-04T17:46:00.000Z,Y
steven-lawrence-3,15,ACTIVE,Rawayana Parking,2026-12-05 8:01pm,Kaseya Center Parking,Miami,FL,610 NW 1ST CT .- 0.7 MILES AWAY,GA7,15-Jan,general_admission,pdf,any,,"0.7 MILES FROM VENUE
16-MINUTE WALKING TO THE VENUE
PARKING PASS ONLY",0,168.75,27,2026-12-04T20:01:00.000Z,Y
